名稱:             描述:
64street          "64 街 ( 世界版 )"
64streetj         "64th. Street - A Detective Story (Japan)"
720               "720° 滑板小子 ( 四版 )"
720g              "720° 滑板小子 ( 德二版 )"
720gr1            "720° 滑板小子 ( 德一版 )"
720r1             "720° 滑板小子 ( 一版 )"
720r2             "720° 滑板小子 ( 二版 )"
720r3             "720° 滑板小子 ( 三版 )"
7jigen            "麻將 7 次元妖精達"
7mezzo            "7 牌梭哈 ( 義大利 )"
7ordi             "7 牌梭哈 ( 韓版 )"
7smash            "7 Smash"
7toitsu           "七對子   "
800fath           "潛航 800 哩"
86lions           "86 獅子"
88games           "金牌運動會"
8ball             "8 號球電視錦標賽"
8ball1            "8 號球電視錦標賽 ( 一版 )"
8ballact          "8 號球錦標賽 ( 大金剛交換 )"
8ballact2         "Eight Ball Action (DKJr conversion)"
8bpm              "8 號球錦標賽 ( 小精靈交換 )"
98best44          "Neo Print - '98 NeoPri Best 44 (Japan)"
99bottles         "99 Bottles of Beer"
99lstwar          "最後一戰 99"
99lstwara         "'99: The Last War (set 2)"
99lstwark         "'99: The Last War (Kyugo)"
9ballsht          "9 號球錦標賽 ( 一版 )"
9ballsht2         "9-Ball Shootout (set 2)"
9ballsht3         "9-Ball Shootout (set 3)"
9ballshtc         "9-Ball Shootout Championship"
a2600             "雅達利 2600 ( 美規 )"
a2600p            "雅達利 2600 ( 歐規 )"
a51mxr3k          "禁區 51 + 終極武力 合輯 ( R3000 )"
a51site4          "禁區 51: 第四遺址"
a51site4a         "Area 51: Site 4 (HD Rev 2.0, September 11, 1998)"
a5200             "雅達利 5200"
a7800             "雅達利 7800 ( 美規 )"
a7800p            "雅達利 7800 ( 歐規 )"
aadvent           "African Adventure (Konami Endeavour)"
aafb              "全美橄欖球 ( E 版 )"
aafbb             "全美橄欖球 ( B 版 )"
aafbc             "全美橄欖球 ( C 版 )"
aafbd2p           "全美橄欖球 ( D 版 )"
aar_101           "Aaron Spelling (1.01)"
aavenger          "Airborne Avenger"
abacus            "Abacus (Ver 1.0)"
abaseb            "雅達利棒球 ( 一版 )"
abaseb2           "雅達利棒球 ( 二版 )"
abattle           "銀河戰爭 ( 一版 )"
abattle2          "銀河戰爭 ( 二版 )"
abclimax          "After Burner Climax (Export)"
abcop             "空中騎警"
abcopj            "A.B. Cop (Japan, FD1094 317-0169b)"
abigchs           "Big Cheese (Russia) (Atronic)"
abnudge           "動物盤 ( 1.7 )"
abnudgeb          "動物盤 ( 2.0, 一版 )"
abnudged          "動物盤 ( 2.0, 二版 )"
abnudgeo          "Animal Bonus Nudge (Version 1.7)"
abscam            "小精靈 ( 改版 )"
abunai            "危險放課後"
aburner           "衝破火網 ( 日版 )"
aburner2          "衝破火網 2"
aburner2g         "After Burner II (German)"
abv106            "Airborne"
abv106r           "Airborne (Redemption)"
ac1bbclb          "Big Break Club (Ace) (ACESYS1) (set 1)"
ac1bbclba         "Big Break Club (Ace) (ACESYS1) (set 2)"
ac1bluec          "Blue Chip (Pcp) (ACESYS1) (set 1)"
ac1blueca         "Blue Chip (Pcp) (ACESYS1) (set 2)"
ac1bluecb         "Blue Chip (Pcp) (ACESYS1) (set 3)"
ac1bluecc         "Blue Chip (Pcp) (ACESYS1) (set 4)"
ac1bluecd         "Blue Chip (Pcp) (ACESYS1) (set 5)"
ac1clbmn          "Club Money (Ace) (ACESYS1) (set 1)"
ac1clbsv          "Club Sovereign (Ace) (ACESYS1)"
ac1clbxt          "Club Xtra (Ace) (ACESYS1) (set 1)"
ac1clbxta         "Club Xtra (Ace) (ACESYS1) (set 2)"
ac1cshtw          "Cash Towers (Ace) (ACESYS1)"
ac1dbldx          "Double Deluxe (Pcp) (ACESYS1)"
ac1gogld          "Go For Gold (Ace) (ACESYS1) (set 1)"
ac1hideh          "Hi De Hi Deluxe (Ace) (ACESYS1) (set 1)"
ac1hideha         "Hi De Hi Deluxe (Ace) (ACESYS1) (set 2)"
ac1hotpf          "Hot Profit (Ace) (ACESYS1)"
ac1nudbk          "Nudge Break (Pcp) (ACESYS1) (set 1)"
ac1nudbka         "Nudge Break (Pcp) (ACESYS1) (set 2)"
ac1nudbkb         "Nudge Break (Pcp) (ACESYS1) (set 3)"
ac1nudbkc         "Nudge Break (Pcp) (ACESYS1) (set 4)"
ac1nudbkd         "Nudge Break (Pcp) (ACESYS1) (set 5)"
ac1piaca          "Play It Again Casino (Ace) (ACESYS1)"
ac1piacl          "Play It Again Club (Ace) (ACESYS1) (set 1)"
ac1piacla         "Play It Again Club (Ace) (ACESYS1) (set 2)"
ac1piaclb         "Play It Again Club (Ace) (ACESYS1) (set 3)"
ac1piaclc         "Play It Again Club (Ace) (ACESYS1) (set 4)"
ac1primt          "Primetime (Ace) (ACESYS1) (set 1)"
ac1prmcl          "Premier Club (Ace) (ACESYS1) (set 1)"
ac1prmcla         "Premier Club (Ace) (ACESYS1) (set 2)"
ac1prmclb         "Premier Club (Ace) (ACESYS1) (set 3)"
ac1prmclc         "Premier Club (Ace) (ACESYS1) (set 4)"
ac1pster          "Pound Sterling (Ace) (ACESYS1)"
ac1pstrt          "Pound Stretcher (Pcp) (ACESYS1)"
ac1roll           "Roll Up (Pcp) (ACESYS1) (set 1)"
ac1rolla          "Roll Up (Pcp) (ACESYS1) (set 2)"
ac1rollb          "Roll Up (Pcp) (ACESYS1) (set 3)"
ac1rundx          "Runner Deluxe Club (Ace) (ACESYS1) (set 1)"
ac1rundxa         "Runner Deluxe Club (Ace) (ACESYS1) (set 2)"
ac1shid           "Super Hi De Hi (Ace) (ACESYS1) (set 1)"
ac1shida          "Super Hi De Hi (Ace) (ACESYS1) (set 2)"
ac1sstrk          "Starstruck (Pcp) (ACESYS1) (set 1)"
ac1sstrka         "Starstruck (Pcp) (ACESYS1) (set 2)"
ac1sstrkb         "Starstruck (Pcp) (ACESYS1) (set 3)"
ac1taklv          "Take It Or Leave It (Ace) (ACESYS1) (set 1)"
ac1totb           "Top Of The Bill (Ace) (ACESYS1)"
ac1xpres          "Xpress (Pcp) (ACESYS1)"
ace               "王牌飛行員"
aceattac          "王牌攻擊手"
aceattaca         "Ace Attacker (Japan, System 16A, FD1094 317-0060)"
acedrvrw          "王牌賽車手"
acefruit          "水果盤拉霸"
acheart           "Arcana Heart"
acheartf          "Arcana Heart Full"
acitya            "賭城大戰"
aclown            "Clown (Russia) (Atronic)"
acombat           "銀河戰爭 ( 新盜版 )"
acombat3          "Astro Combat (unencrypted)"
acombato          "銀河戰爭 ( 舊盜版 )"
acommand          "異形密令"
acpsx             "Acclaim PSX"
acrobatm          "特殊任務"
act2000           "行動 2000 ( 1.2 )"
act2000b1         "Action 2000 (Version 3.5R, set 2)"
act2000bx         "Action 2000 (Version 3.30XT, set 2)"
act2000d1         "Action 2000 (Version 3.5R, set 1)"
act2000dx         "Action 2000 (Version 3.30XT, set 1)"
act2000o          "Action 2000 (Version 3.3)"
act2000o2         "Action 2000 (Version 3.10XT)"
act2000o3         "Action 2000 (Version 1.2)"
act2000v1         "Action 2000 (Version 3.5R Dual)"
act2000vx         "Action 2000 (Version 3.30XT Dual)"
actfancr          "戰鬥機器 ( 世界二版 )"
actfancr1         "Act-Fancer Cybernetick Hyper Weapon (World revision 1)"
actfancrj         "Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)"
actionhw          "行動好萊塢"
ad2083            "西元 2083 "
ad4ctl            "Cop The Lot Club (Video) (Bellfruit) (Adder 4) (set 1)"
ad4ctla           "Cop The Lot Club (Video) (Bellfruit) (Adder 4) (set 2)"
ad4film           "Film Premiere (Video?) (Bellfruit) (Adder 4) (set 1)"
ad4filma          "Film Premiere (Video?) (Bellfruit) (Adder 4) (set 2)"
ad4skill          "Skill Dice (BFM) (Scorpion 4 + Adder 4)"
ad5bpfpm          "Bullseye Pounds For Points (Mazooma) (Adder 5) (set 1)"
ad5bpfpma         "Bullseye Pounds For Points (Mazooma) (Adder 5) (set 2)"
ad5bpfpmb         "Bullseye Pounds For Points (Mazooma) (Adder 5) (set 3)"
ad5bpfpmc         "Bullseye Pounds For Points (Mazooma) (Adder 5) (set 4)"
ad5bpfpmd         "Bullseye Pounds For Points (Mazooma) (Adder 5) (set 5)"
ad5btc            "Bullseye Triple Club (PR1758, BFGPBULS) (Bellfruit) (Adder 5) (set 1)"
ad5btca           "Bullseye Triple Club (PR1758, BFGPBULS) (Bellfruit) (Adder 5) (set 3)"
ad5btcb           "Bullseye Triple Club (PR1758, BFGNBULS) (Bellfruit) (Adder 5) (set 4)"
ad5cmons          "Crazy Money (Bellfruit) (Adder 5) (set 1)"
ad5cmonsa         "Crazy Money (Bellfruit) (Adder 5) (set 2)"
ad5copsr          "Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 1)"
ad5copsr0         "Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 7)"
ad5copsr1         "Cops 'n' Robbers (PR2497) (Mazooma) (Adder 5) (set 2)"
ad5copsr2         "Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 8)"
ad5copsr3         "Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 1)"
ad5copsr4         "Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 5)"
ad5copsr5         "Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 2)"
ad5copsr6         "Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 6)"
ad5copsr7         "Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 4)"
ad5copsra         "Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 2)"
ad5copsrb         "Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 3)"
ad5copsrc         "Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 1)"
ad5copsrd         "Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 4)"
ad5copsre         "Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 5)"
ad5copsrf         "Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 6)"
ad5copsrg         "Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 2)"
ad5copsrh         "Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 1)"
ad5copsri         "Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 2)"
ad5copsrj         "Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 5)"
ad5copsrk         "Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 7)"
ad5copsrl         "Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 8)"
ad5copsrm         "Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 9)"
ad5copsrn         "Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 3)"
ad5copsro         "Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 10)"
ad5copsrp         "Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 11)"
ad5copsrq         "Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 12)"
ad5copsrr         "Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 4)"
ad5copsrs         "Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 3)"
ad5copsrt         "Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 4)"
ad5copsru         "Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 6)"
ad5copsrv         "Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 13)"
ad5copsrw         "Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 14)"
ad5copsrx         "Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 5)"
ad5copsry         "Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 6)"
ad5copsrz         "Cops 'n' Robbers (PR2497) (Mazooma) (Adder 5) (set 1)"
ad5crcpt          "Cops 'n' Robbers Community Party (Bellfruit) (Adder 5) (set 1)"
ad5crcpta         "Cops 'n' Robbers Community Party (Bellfruit) (Adder 5) (set 2)"
ad5crsc           "Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 1)"
ad5crsca          "Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 2)"
ad5crscb          "Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 3)"
ad5crscc          "Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 4)"
ad5crscd          "Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 7)"
ad5crsce          "Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 8)"
ad5crscf          "Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 9)"
ad5crscg          "Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 10)"
ad5crsch          "Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 3)"
ad5dnd            "Deal Or No Deal (Bellfruit) (Adder 5) (set 1)"
ad5dnda           "Deal Or No Deal (Bellfruit) (Adder 5) (set 2)"
ad5dndb           "Deal Or No Deal (Bellfruit) (Adder 5) (set 3)"
ad5dndc           "Deal Or No Deal (Bellfruit) (Adder 5) (set 4)"
ad5dndcl          "Deal Or No Deal Club (Bellfruit) (Adder 5) (set 1)"
ad5dndcla         "Deal Or No Deal Club (Bellfruit) (Adder 5) (set 2)"
ad5dndclb         "Deal Or No Deal Club (Bellfruit) (Adder 5) (set 3)"
ad5dndclc         "Deal Or No Deal Club (Bellfruit) (Adder 5) (set 4)"
ad5dndcld         "Deal Or No Deal Club (Bellfruit) (Adder 5) (set 5)"
ad5dndcle         "Deal Or No Deal Club (Bellfruit) (Adder 5) (set 6)"
ad5dndclf         "Deal Or No Deal Club (Bellfruit) (Adder 5) (set 20)"
ad5dndclg         "Deal Or No Deal Club (Bellfruit) (Adder 5) (set 21)"
ad5dndd           "Deal Or No Deal (Bellfruit) (Adder 5) (set 5)"
ad5dnddd          "Deal Or No Deal Double Deal Or No Deal (Bellfruit) (Adder 5) (set 1)"
ad5dnddda         "Deal Or No Deal Double Deal Or No Deal (Bellfruit) (Adder 5) (set 2)"
ad5dnde           "Deal Or No Deal (Bellfruit) (Adder 5) (set 6)"
ad5dndf           "Deal Or No Deal (Bellfruit) (Adder 5) (set 7)"
ad5dndg           "Deal Or No Deal (Bellfruit) (Adder 5) (set 8)"
ad5dndh           "Deal Or No Deal (Bellfruit) (Adder 5) (set 9)"
ad5dndi           "Deal Or No Deal (Bellfruit) (Adder 5) (set 10)"
ad5dndj           "Deal Or No Deal (Bellfruit) (Adder 5) (set 11)"
ad5dndk           "Deal Or No Deal (Bellfruit) (Adder 5) (set 12)"
ad5dndl           "Deal Or No Deal (Bellfruit) (Adder 5) (set 13)"
ad5dndm           "Deal Or No Deal (Bellfruit) (Adder 5) (set 14)"
ad5dndn           "Deal Or No Deal (Bellfruit) (Adder 5) (set 15)"
ad5dndo           "Deal Or No Deal (Bellfruit) (Adder 5) (set 16)"
ad5dndp           "Deal Or No Deal (Bellfruit) (Adder 5) (set 17)"
ad5dndpg          "Deal Or No Deal The Perfect Game (Bellfruit) (Adder 5) (set 1)"
ad5dndpga         "Deal Or No Deal The Perfect Game (Bellfruit) (Adder 5) (set 2)"
ad5dndpgb         "Deal Or No Deal The Perfect Game (Bellfruit) (Adder 5) (set 3)"
ad5dndpgc         "Deal Or No Deal The Perfect Game (Bellfruit) (Adder 5) (set 4)"
ad5dndpl          "Deal Or No Deal Platinum (Bellfruit) (Adder 5) (set 1)"
ad5dndpla         "Deal Or No Deal Platinum (Bellfruit) (Adder 5) (set 2)"
ad5dndplb         "Deal Or No Deal Platinum (Bellfruit) (Adder 5) (set 3)"
ad5dndplc         "Deal Or No Deal Platinum (Bellfruit) (Adder 5) (set 4)"
ad5dndq           "Deal Or No Deal (Bellfruit) (Adder 5) (set 18)"
ad5dndr           "Deal Or No Deal (Bellfruit) (Adder 5) (set 19)"
ad5dndu           "Deal Or No Deal (Bellfruit) (Adder 5) (set 22)"
ad5dndv           "Deal Or No Deal (Bellfruit) (Adder 5) (set 23)"
ad5eyes           "Eyes Down (PR2242, MAZNEYDW) (Mazooma) (Adder 5) (set 1)"
ad5eyesa          "Eyes Down (PR2242, MAZNEYDW) (Mazooma) (Adder 5) (set 2)"
ad5eyesb          "Eyes Down (PR2246, MAZNEYDW) (Mazooma) (Adder 5) (set 1)"
ad5eyesc          "Eyes Down (PR2246, MAZPEYDW) (Mazooma) (Adder 5) (set 1)"
ad5eyesd          "Eyes Down (PR2242, MAZPEYDW) (Mazooma) (Adder 5) (set 1)"
ad5eyese          "Eyes Down (PR2242, MAZPEYDW) (Mazooma) (Adder 5) (set 2)"
ad5eyesf          "Eyes Down (PR2246, MAZPEYDW) (Mazooma) (Adder 5) (set 2)"
ad5eyesg          "Eyes Down (PR2246, MAZNEYDW) (Mazooma) (Adder 5) (set 2)"
ad5gldmn          "Gold Mine (Bellfruit) (Adder 5) (set 1)"
ad5gldmna         "Gold Mine (Bellfruit) (Adder 5) (set 2)"
ad5gldmnb         "Gold Mine (Bellfruit) (Adder 5) (set 3)"
ad5gldmnc         "Gold Mine (Bellfruit) (Adder 5) (set 4)"
ad5gldmnd         "Gold Mine (Bellfruit) (Adder 5) (set 5)"
ad5gldmne         "Gold Mine (Bellfruit) (Adder 5) (set 6)"
ad5gldmnf         "Gold Mine (Bellfruit) (Adder 5) (set 7)"
ad5gldmng         "Gold Mine (Bellfruit) (Adder 5) (set 8)"
ad5gldmnh         "Gold Mine (Bellfruit) (Adder 5) (set 9)"
ad5gldmni         "Gold Mine (Bellfruit) (Adder 5) (set 10)"
ad5gldmnj         "Gold Mine (Bellfruit) (Adder 5) (set 11)"
ad5gldmnk         "Gold Mine (Bellfruit) (Adder 5) (set 12)"
ad5gldwn          "Golden Winner (Mazooma) (Adder 5) (set 1)"
ad5gldwna         "Golden Winner (Mazooma) (Adder 5) (set 2)"
ad5hir            "Hi Roller (Bellfruit) (Adder 5) (set 1)"
ad5hira           "Hi Roller (Bellfruit) (Adder 5) (set 2)"
ad5hirb           "Hi Roller (Bellfruit) (Adder 5) (set 3)"
ad5hirc           "Hi Roller (Bellfruit) (Adder 5) (set 4)"
ad5hircl          "Hi Roller Club (Bellfruit) (Adder 5) (set 1)"
ad5hircla         "Hi Roller Club (Bellfruit) (Adder 5) (set 2)"
ad5hirclb         "Hi Roller Club (Bellfruit) (Adder 5) (set 3)"
ad5jckmo          "Jackpot Monopoly (PR2226, MAZNJACM) (Mazooma) (Adder 5) (set 1)"
ad5jckmoa         "Jackpot Monopoly (PR2226, MAZNJACM) (Mazooma) (Adder 5) (set 2)"
ad5jckmob         "Jackpot Monopoly (PR2253, MAZNJACM) (Mazooma) (Adder 5)"
ad5jckmoc         "Jackpot Monopoly (PR2226, MAZNJACM) (Mazooma) (Adder 5) (set 3)"
ad5jckmod         "Jackpot Monopoly (PR2226, MAZPJACM) (Mazooma) (Adder 5) (set 1)"
ad5jckmoe         "Jackpot Monopoly (PR2226, MAZPJACM) (Mazooma) (Adder 5) (set 2)"
ad5mcob           "Monte Carlo Or Bust (Qps) (Adder 5) (set 1)"
ad5mcoba          "Monte Carlo Or Bust (Qps) (Adder 5) (set 2)"
ad5mcobb          "Monte Carlo Or Bust (Qps) (Adder 5) (set 3)"
ad5mcobc          "Monte Carlo Or Bust (Qps) (Adder 5) (set 4)"
ad5monop          "Random Monopoly (PR2217, MAZNRNDN) (Mazooma) (Adder 5) (set 1)"
ad5monopa         "Random Monopoly (PR2217, MAZNRNDN) (Mazooma) (Adder 5) (set 2)"
ad5monopb         "Random Monopoly (PR2217, MAZNRNDN) (Mazooma) (Adder 5) (set 3)"
ad5monopc         "Random Monopoly (PR2217, MAZNRNDN) (Mazooma) (Adder 5) (set 4)"
ad5monopd         "Random Monopoly (PR2221, MAZNRNDN) (Mazooma) (Adder 5) (set 1)"
ad5monope         "Random Monopoly (PR2221, MAZNRNDN) (Mazooma) (Adder 5) (set 2)"
ad5monopf         "Random Monopoly (PR2217, MAZPRNDN) (Mazooma) (Adder 5) (set 1)"
ad5monopg         "Random Monopoly (PR2217, MAZPRNDN) (Mazooma) (Adder 5) (set 2)"
ad5monoph         "Random Monopoly (PR2217, MAZPRNDN) (Mazooma) (Adder 5) (set 3)"
ad5monopi         "Random Monopoly (PR2217, MAZPRNDN) (Mazooma) (Adder 5) (set 4)"
ad5monopj         "Random Monopoly (PR2221, MAZPRNDN) (Mazooma) (Adder 5) (set 1)"
ad5monopk         "Random Monopoly (PR2221, MAZPRNDN) (Mazooma) (Adder 5) (set 2)"
ad5mowow          "Monopoly Wheel Of Wealth (PR2365, MAZNBPFP) (Mazooma) (Adder 5) (set 1)"
ad5mowowa         "Monopoly Wheel Of Wealth (PR2365, MAZNWOWT) (Mazooma) (Adder 5) (set 1)"
ad5mowowb         "Monopoly Wheel Of Wealth (PR2365, MAZNWOWT) (Mazooma) (Adder 5) (set 2)"
ad5mowowc         "Monopoly Wheel Of Wealth (PR2389, MAZNWWBU) (Mazooma) (Adder 5)"
ad5mowowd         "Monopoly Wheel Of Wealth (PR2365, MAZNMWOW) (Mazooma) (Adder 5)"
ad5mowowe         "Monopoly Wheel Of Wealth (PR2365, MAZPBPFP) (Mazooma) (Adder 5) (set 1)"
ad5mowowf         "Monopoly Wheel Of Wealth (PR2365, MAZPWOWT) (Mazooma) (Adder 5) (set 1)"
ad5mowowg         "Monopoly Wheel Of Wealth (PR2365, MAZPWOWT) (Mazooma) (Adder 5) (set 2)"
ad5mowowh         "Monopoly Wheel Of Wealth (PR2389, MAZPWWBU) (Mazooma) (Adder 5)"
ad5mowowi         "Monopoly Wheel Of Wealth (PR2365, MAZPMWOW) (Mazooma) (Adder 5)"
ad5mowowj         "Monopoly Wheel Of Wealth (PR3075) (Adder 5) (set 1)"
ad5mowowk         "Monopoly Wheel Of Wealth (PR3075) (Adder 5) (set 2)"
ad5mowowl         "Monopoly Wheel Of Wealth (PR2365, MAZNBPFP) (Mazooma) (Adder 5) (set 2)"
ad5mowowm         "Monopoly Wheel Of Wealth (PR2365, MAZPBPFP) (Mazooma) (Adder 5) (set 2)"
ad5mr2r           "Monopoly Road To Riches (Mazooma) (Adder 5) (set 1)"
ad5mr2ra          "Monopoly Road To Riches (Mazooma) (Adder 5) (set 2)"
ad5mr2rb          "Monopoly Road To Riches (Mazooma) (Adder 5) (set 3)"
ad5mr2rc          "Monopoly Road To Riches (Mazooma) (Adder 5) (set 4)"
